Exercício do empenho,Órgão programa de trabalho,Código do favorecido,Favorecido,Descrição da natureza da despesa,Valor empenhado,Valor liquidado
2023,16,11429080000111.0,CRECHE COMUNITARIA DEUS E FIEL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4948731.66,2761296.66
2023,16,2717198000154.0,NUCLEO DE ACAO COMUNITARIA E DE DESENVOLVIMENTO SOCIAL NACODES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4207587.18,2472903.3000000003
2022,16,35455216000126.0,CENTRO CULTURAL MONTESSORI,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4118650.0,4118650.0
2022,16,33709171000143.0,CRUZADA DO MENOR,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3995141.46,3995141.46
2022,16,39748014000123.0,CRECHE COMUNITARIA ARTE & CULTURA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3974200.0,3974200.0
2022,16,8892409000171.0,CEM CRECHE ESCOLA MACHADO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3870533.33,3870533.33
2022,16,73306300000177.0,CRECHE CASULO AGOSTINHO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3857165.66,3857165.66
2022,16,22212251000172.0,CRECHE E PRE ESCOLA NOVA JERUSALEM,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3722183.4699999997,3722183.4699999997
2022,16,4421158000196.0,SOCIEDADE DOS REUNIDOS PELO BEM ESTAR SOCIAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3652978.33,3652978.33
2022,16,33638388000100.0,INSTITUTO PROTETOR DOS POBRES E CRIANCAS - ABRIGO MARIA IMACULADA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3457565.43,3457565.43
2023,16,46572804000166.0,ASSOCIACAO EDUCACIONAL MARIA M DE APOIO A CIDADANIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3286350.0,1247763.3
2022,16,7501534000140.0,CRECHE E ESCOLA COMUNITARIA GENTE INOCENTE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3091287.3200000003,3091287.3200000003
2023,16,27459612000101.0,CENTRO CULTURAL EDUCAR,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2999815.0,1960140.0
2022,16,10747292000184.0,ASSOCIACAO DE PAIS DA CRECHE TIA ALICE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2973740.78,2973740.78
2022,16,31417678000106.0,ESCOLA COMUNITARIA SEMENTES DO AMANHA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2957500.0,2957500.0
2023,16,17271547000124.0,ASSOCIACAO CRECHE ESPERANCA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2850510.0,1186221.12
2022,16,68696962000160.0,INSTITUTO MISSIONARIO COMUNHAO E PARTICIPACAO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2829210.9,2829210.9
2022,16,6080771000112.0,CENTRO DE INTEGRACAO SOCIAL ISABEL MARIA DE NOVA SEPETIBA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2763284.7,2763284.7
2022,16,31421019000135.0,ESCOLA COMUNITARIA JARDIM ARCO IRIS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2753145.69,2753145.69
2023,16,517666000111.0,RIOSOLIDARIO OBRA SOCIAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2722664.0300000003,1584310.0
2023,16,42696744000132.0,CRECHE E PRE ESCOLA MARIA MANUELA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2702700.0,1290575.0
2022,16,4396217000113.0,CENTRO EDUCACIONAL JOEL MARIO - CASA DE JOEL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2583706.66,2583706.66
2022,16,39489776000152.0,CRECHE COMUNITARIA GENIO DO FUTURO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2549474.99,2549474.99
2022,16,4673783000125.0,FIOS DA TERRA EDUCACAO E CULTURA AMBIENTE E ENERGIA TRABALHOE PARTICIPACAO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2526550.0,2526550.0
2022,16,33760398000113.0,EDUCANDARIO SOCIAL LAR DE FREI LUIZ,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2509602.96,2509602.96
2022,16,35857698000140.0,ASSOCIACAO HOUSE BABY,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2483325.0,2483325.0
2022,16,40130857000140.0,INSTITUTO MARIANO EDUQUE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2473250.0,2473250.0
2022,16,35585479000150.0,CENTRO SOCIAL DE DESENVOLVIMENTO INFANTIL TIA NEIDE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2425150.0,2425150.0
2022,16,12875189000145.0,INSTITUTO BEZALEL PROJETO SOCIAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2424539.01,2424539.01
2023,16,8892409000171.0,CEM CRECHE ESCOLA MACHADO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2289711.67,819650.0
2022,16,92873413000441.0,ASSOCIACAO FILHAS DE SANTA MARIA DA PROVIDENCIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2252358.05,2252358.05
2023,16,92873413000441.0,ASSOCIACAO FILHAS DE SANTA MARIA DA PROVIDENCIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2200670.64,773629.95
2022,16,68789585000104.0,ASSOCIACAO DE MORADORES UNIAO DAS BASES DE URUCANIA E ADJACENCIAS - AMUBUA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2070250.0,2070250.0
2023,16,22212251000172.0,CRECHE E PRE ESCOLA NOVA JERUSALEM,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2067202.08,1114686.68
2022,16,26095792000119.0,ASSOCIACAO CHALE SEMENTINHAS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",2053306.6800000002,2053306.6800000002
2022,16,97405997000100.0,OBRA SOCIAL DA CRECHE CRECHE CANTINHO FELIZ,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1992720.0,1992720.0
2023,16,7501534000140.0,CRECHE E ESCOLA COMUNITARIA GENTE INOCENTE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1967918.3399999999,916543.34
2022,16,40130229000165.0,CRECHE ESCOLA COMUNITARIA MALLETZINHO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1945904.98,1945904.98
2023,16,73306300000177.0,CRECHE CASULO AGOSTINHO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1927748.3399999999,1157173.34
2022,16,31415680000138.0,ASSOCIACAO DAS DONAS DE CASA DA ESTRADA DA PEDRA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1894565.0,1894565.0
2022,16,981263000129.0,CRECHE ESCOLA COMUNITARIA SITIO ALEGRE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1894302.0,1894302.0
2022,16,29240504000160.0,CRECHE E ESCOLA COMUNITARIA GENTE BAIXINHA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1890030.0,1890030.0
2022,16,1149568000131.0,CRECHE ESCOLA MIMI,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1870320.0,1870320.0
2023,16,33709171000143.0,CRUZADA DO MENOR,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1867026.67,1187594.21
2022,16,29240041000137.0,ASSOCIACAO DE MORADORES E AMIGOS DO PARQUE ESTORIL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1859000.0,1859000.0
2023,16,5951758000129.0,SINGULAR GESTAO DE SERVICOS LTDA,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",1810184.32,1810184.32
2022,16,2034629000188.0,COMITE DE ATENDIMENTO AO ADOLESCENTE CAAD,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1797900.0,1797900.0
2022,16,33766999000133.0,SOCIEDADE DE ENSINO TEREZA CRISTINA SETC,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1768670.0,1768670.0
2023,16,4421158000196.0,SOCIEDADE DOS REUNIDOS PELO BEM ESTAR SOCIAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1725880.0,843245.0
2022,16,4447582000100.0,ACAO COMUNITARIA PRO FAVELA DOUTOR MARCELLO CANDIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1690000.0,1690000.0
2022,16,42103333000196.0,CASA SAO ROQUE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1690000.0,1690000.0
2022,16,33952136000150.0,ASSOCIACAO SERVAS DOS POBRES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1690000.0,1690000.0
2022,16,35353173000178.0,INSTITUTO T&P CONQUISTA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1690000.0,1690000.0
2023,16,35455216000126.0,CENTRO CULTURAL MONTESSORI,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1669915.0,1049090.0
2022,16,35455216000398.0,CENTRO CULTURAL MONTESSORI,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1640925.0,1640925.0
2022,16,35636284000191.0,INSTITUTO DE EDUCACAO EUCLIDES DOS SANTOS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1604135.0,1604135.0
2022,16,33904020000146.0,CASA DA CRIANCA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1593800.0,1593800.0
2022,16,36430028000106.0,MAX ENGENHARIA EIRELI,"AMPLIACAO, RECONSTRUCAO E REFORMAS",1543866.08,1540691.0299999998
2022,16,2981143000157.0,ASSOCIACAO DO CENTRO EDUCACIONAL EVANGELICO MELO COSTA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1520155.0,1520155.0
2022,16,42370860000167.0,ESPACO DE DESENVOLVIMENTO MAE GAIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1517906.63,1517906.63
2022,16,42564773000140.0,ACAO SOCIAL PADRE ANCHIETA ASPA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1512550.0,1512550.0
2022,16,29241148000108.0,ESCOLA COMUNITARIA JARDIM ALEXANDRINO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1474200.0,1474200.0
2022,16,30871404000111.0,CRECHE GUADALUPE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1473950.0,1473950.0
2023,16,39748014000123.0,CRECHE COMUNITARIA ARTE & CULTURA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1467916.67,812500.0
2023,16,31417678000106.0,ESCOLA COMUNITARIA SEMENTES DO AMANHA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1463583.33,894833.33
2022,16,29014008000199.0,INSTITUTO NACIONAL DE ASSISTENCIA TRABALHO OPORTUNIDADES E SAUDE INATOS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1433500.0,1433500.0
2023,16,33638388000100.0,INSTITUTO PROTETOR DOS POBRES E CRIANCAS - ABRIGO MARIA IMACULADA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1420309.7,962455.8300000001
2022,16,4711987000103.0,COLEGIO FERREIRA MOTTA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1418300.0,1418300.0
2022,16,26544349000188.0,CENTRO CULTURAL TIA NANE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1412257.16,1412257.16
2023,16,68696962000160.0,INSTITUTO MISSIONARIO COMUNHAO E PARTICIPACAO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1407466.67,858606.59
2022,16,34844314000192.0,INSTITUTO LOUVOR NA TERRA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1400750.6,1400750.6
2023,16,31421019000135.0,ESCOLA COMUNITARIA JARDIM ARCO IRIS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1373341.67,694845.0700000001
2022,16,31601644000169.0,INSTITUTO MACIEIRA CULTURAL E SOCIAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1365346.76,1365346.76
2023,16,33760398000113.0,EDUCANDARIO SOCIAL LAR DE FREI LUIZ,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1350678.33,825753.33
2022,16,31421191000199.0,ESCOLA COMUNITARIA J.I.CHAVE DO TAMANHO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1317328.0,1317328.0
2022,16,40397707000106.0,CENTRO CULTURAL MILENIUM,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1301300.0,1301300.0
2022,16,46760464000105.0,INSTITUTO CRESCER & APRENDER,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1284400.0,1284400.0
2022,16,34064808000154.0,OBRA SOCIAL DA PAROQUIA SANTA CRUZ DE COPACABANA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1267000.0,1267000.0
2022,16,5052032000154.0,ORGANIZACAO CRECHE ARTE TIO JOAO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1263978.0,1263978.0
2022,16,34088559000137.0,CASA DE LAZARO EDUCANDARIO SOCIAL DE ASSISTENCIA E AMPARO ACRIANCA E ADOLESCENTE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1261810.1199999999,1261810.1199999999
2023,16,10747292000184.0,ASSOCIACAO DE PAIS DA CRECHE TIA ALICE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1243450.0,791050.0
2023,16,35857698000140.0,ASSOCIACAO HOUSE BABY,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1219189.32,532783.33
2022,16,68824150000153.0,CRECHE COMUNITARIA MUNDO ENCANTADO DA CRIANCA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1208252.0,1208252.0
2022,16,8681265000104.0,ASSOCIACAO CIVIL CENTRO EDUCACIONAL COMUNITARIO ESTACAO DOSABER,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1199531.6700000002,1199531.6700000002
2023,16,40130857000140.0,INSTITUTO MARIANO EDUQUE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1196525.0,534300.0
2023,16,30871404000111.0,CRECHE GUADALUPE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1189102.7799999998,434633.33
2022,16,27052182000109.0,CENTRO COMUNITARIO DA RUA UM UNIAO FAZ A FORCA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1183000.0,1183000.0
2022,16,42144998000148.0,DISPENSARIO SANTA TERESINHA DO MENINO JESUS DA GAVEA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1183000.0,1183000.0
2022,16,72386535000153.0,OBRAS SOCIAIS NOVO PALMARES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1183000.0,1183000.0
2022,16,33701004000156.0,LAR IRMAO FRANCISCO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1180898.3399999999,1180898.3399999999
2022,16,34066639000191.0,CONGREGACAO MARIANA DO HOSPITAL COLONIA DE CURUPAITI,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1167977.87,1167977.87
2023,16,6080771000112.0,CENTRO DE INTEGRACAO SOCIAL ISABEL MARIA DE NOVA SEPETIBA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1158386.6600000001,837386.16
2022,16,29240884000133.0,ESCOLA COMUNITARIA JARDIM DE INFANCIA TIA ANASTACIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1157650.0,1157650.0
2022,16,33966199000166.0,ESPACO CRIATIVO ERA UMA VEZ,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1140750.0,1140750.0
2022,16,31157746000137.0,CENTRO DE ATIVIDADES EDUCACIONAIS E CULTURAIS ARCA DE NOE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1140750.0,1140750.0
2022,16,33727009000158.0,ASSOCIACAO TUTELAR DE MENORES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1137500.0,1137500.0
2023,16,4396217000113.0,CENTRO EDUCACIONAL JOEL MARIO - CASA DE JOEL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1124803.33,786803.33
2022,16,31415219000185.0,CRECHE COMUNITARIA JARDIM SANTA CRUZ,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1115755.01,1115755.01
2022,16,72084122000114.0,CENTRO COMUNITARIO DA VILA PROLETARIA DA PENHA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1103331.67,1103331.67
2022,16,38543956000102.0,CRECHE COMUNITARIA CORACAO DE MAE,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1098500.0,1098500.0
2023,16,33952136000150.0,ASSOCIACAO SERVAS DOS POBRES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1096333.33,381333.33
2022,16,40698331000161.0,CRECHE COMUITARIA ESPACO CRESCER,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",1081166.66,1081166.66
