Exercício do empenho,Órgão programa de trabalho,Código do favorecido,Favorecido,Descrição da natureza da despesa,Valor empenhado,Valor liquidado
2023,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO DE DUPLA REGENCIA,107880222.0,107880222.0
2022,16,1600.0,Secretaria Municipal de Educação,AUXILIO-TRANSPORTE,94560339.27,94560339.27
2022,16,1600.0,Secretaria Municipal de Educação,REMUNERACAO DE FERIAS AOS FUNCIONARIOS ESTATUTARIOS,91782016.72,91782016.72
2022,16,60444437000146.0,LIGHT SERVICOS DE ELETRICIDADE S.A,SERVICOS DE LUZ E FORCA MOTRIZ,89556149.97,89438024.32000001
2022,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO DE ENCARGOS ESPECIAIS,87766508.99,87766508.99
2023,16,42454330000105.0,COMISSARIA AEREA RIO DE JANEIRO LTDA.,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",79719938.22,31361675.43
2022,16,1600.0,Secretaria Municipal de Educação,BONUS CULTURA,74617648.09,74617648.09
2023,16,30183941000179.0,CONSTRUTORA ZADAR LTDA,EXECUCAO DAS OBRAS E PROJETOS,71802116.0,2575121.01
2022,16,1600.0,Secretaria Municipal de Educação,"GRATIFICACAO AO PESSOAL DA AREA DE EDUCACAO, POR ATIV. EM LOCAIS INOSPITOS/DIFICIL ACESSO",66456904.29,66456904.29
2022,16,30183941000179.0,CONSTRUTORA ZADAR LTDA,EXECUCAO DAS OBRAS E PROJETOS,66354898.82,66354898.82
2022,16,42454330000105.0,COMISSARIA AEREA RIO DE JANEIRO LTDA.,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",65309044.07,65309044.07
2023,16,1920177000179.0,COMERCIAL MILANO BRASIL LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",63674747.83,29073587.59
2022,16,27608256000132.0,TRANSRIVER TRANSPORTES LTDA,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",62771357.72,62771357.72
2023,16,60444437000146.0,LIGHT SERVICOS DE ELETRICIDADE S.A,SERVICOS DE LUZ E FORCA MOTRIZ,57677450.63,29006519.27
2022,16,1600.0,Secretaria Municipal de Educação,REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA SUPERIOR (DAS),46174054.92,46174054.92
2022,16,28129807000148.0,TENSOR EMPREENDIMENTOS LTDA,EXECUCAO DAS OBRAS E PROJETOS,44015011.519999996,44015011.519999996
2022,16,42644220000106.0,AGUAS DO RIO 4 SPE S.A.,SERVICOS DE AGUA E ESGOTO,43676554.97,43676554.97
2022,16,1600.0,Secretaria Municipal de Educação,DIREITO PESSOAL,41730274.68,41730274.68
2022,16,70992359000330.0,FRIDEL - FRIGORIFICO INDUSTRIAL DEL REY LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",40607823.0,40571958.11
2022,16,492809.0,BANCO DO BRASIL,PIS/PASEP,36564797.99,35519972.47
2023,16,27608256000132.0,TRANSRIVER TRANSPORTES LTDA,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",36170418.21,22307734.0
2022,16,9445502000109.0,SOLUCOES SERVICOS TERCEIRIZADOS EIRELI,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",35658407.160000004,35658407.160000004
2022,16,9687900000204.0,PERSONAL NET TECNOLOGIA DE INFORMACAO LTDA,FORNECIMENTO DE ALIMENTACAO,34261174.480000004,34261174.480000004
2023,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO DE ENCARGOS ESPECIAIS,34250598.13,34250598.13
2022,16,1600.0,Secretaria Municipal de Educação,REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA INTERMEDIARIA (DAI),33343915.2,33343915.2
2022,16,768165000108.0,HB MULTISERVICOS LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",32431555.99,32419594.77
2022,16,1600.0,Secretaria Municipal de Educação,ABONO DE PERMANENCIA,32341858.59,32341858.59
2023,16,768165000108.0,HB MULTISERVICOS LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",31407172.68,17066637.12
2022,16,5351543000177.0,UNIFRETE TRANSPORTES DE TURISMO E FRETAMENTO LTDA.,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",30555572.669999998,30555572.669999998
2022,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO POR CAPACITACAO - GCAP,29204696.88,29204696.88
2023,16,1600.0,Secretaria Municipal de Educação,AUXILIO-TRANSPORTE,28922551.080000002,28922551.080000002
2022,16,14863079000199.0,F AB ZONA OESTE SA,SERVICOS DE AGUA E ESGOTO,28025266.880000003,28025266.880000003
2023,16,492809.0,BANCO DO BRASIL,PIS/PASEP,27020568.34,9830266.26
2022,16,27051838000160.0,ERMAR ALIMENTOS LTDA.,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",26334784.78,26334784.78
2023,16,1600.0,Secretaria Municipal de Educação,BONUS CULTURA,26097818.13,26097818.13
2023,16,4128491000101.0,IRMAOS HADDAD CONSTRUTORA EIRELI,EXECUCAO DAS OBRAS E PROJETOS,25871686.97,3404032.24
2023,16,5351543000177.0,UNIFRETE TRANSPORTES DE TURISMO E FRETAMENTO LTDA.,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",25531200.0,11347200.0
2023,16,12978986000158.0,T&S LOCACAO DE MAO DE OBRA EM GERAL EIRELI,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",24970209.259999998,6593154.58
2023,16,42644220000106.0,AGUAS DO RIO 4 SPE S.A.,SERVICOS DE AGUA E ESGOTO,24731146.2,16926859.009999998
2022,16,40160558000159.0,TRANSPORTE E TURISMO REAL BRASIL LTDA.,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",24714454.66,24714454.66
2023,16,1600.0,Secretaria Municipal de Educação,DESPESAS COM PESSOAL ATIVO,22961403.43,22961403.43
2022,16,3706826000169.0,P.R.M. SERVICOS E MAO DE OBRA ESPECIALIZADA EIRELI,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",22026954.419999998,21999910.1
2023,16,28129807000148.0,TENSOR EMPREENDIMENTOS LTDA,EXECUCAO DAS OBRAS E PROJETOS,21051453.79,8125678.97
2022,16,12978986000158.0,T&S LOCACAO DE MAO DE OBRA EM GERAL EIRELI,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",20631152.970000003,20631152.470000003
2023,16,1600.0,Secretaria Municipal de Educação,"GRATIFICACAO AO PESSOAL DA AREA DE EDUCACAO, POR ATIV. EM LOCAIS INOSPITOS/DIFICIL ACESSO",20460422.02,20460422.02
2022,16,1600.0,Secretaria Municipal de Educação,DESPESAS COM PESSOAL ATIVO,19614923.39,19614923.39
2022,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO POR DESEMPENHO NO CARGO TECNICO - GD,19462186.3,19462186.3
2022,16,378257000181.0,FNDE - FUNDO NAC. DE DESENV. DA EDUCACAO,RESTITUICOES DE CONVENIOS,19333924.81,19333924.81
2022,16,3465953000113.0,ASSOCIACAO CENTRO EDUCACIONAL REBRAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",18103256.3,18103256.3
2022,16,1920177000179.0,COMERCIAL MILANO BRASIL LTDA,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",17273557.189999998,17273557.189999998
2023,16,1600.0,Secretaria Municipal de Educação,REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA SUPERIOR (DAS),16116895.28,16116895.28
2023,16,1600.0,Secretaria Municipal de Educação,DIREITO PESSOAL,16093100.67,16093100.67
2023,16,14863079000199.0,F AB ZONA OESTE SA,SERVICOS DE AGUA E ESGOTO,15852202.15,10526133.53
2023,16,70992359000330.0,FRIDEL - FRIGORIFICO INDUSTRIAL DEL REY LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",15316172.47,7450020.930000001
2022,16,33593575000114.0,MITRA ARQUIEPISCOPAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",14146440.23,14146440.23
2022,16,1600.0,Secretaria Municipal de Educação,SERVICOS PRESTADOS POR ESTUDANTES,13929038.219999999,13294913.969999999
2022,16,1435328000101.0,COOPERATIVA REGIONAL DE COMERCIALIZACAO DO EXTREMO OESTE CCOOPEROESTE,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA EM ATENDIMENTO A LEI FEDERAL N 11947/09",12787704.02,12748868.0
2022,16,10489688000179.0,INSTITUTO FAIR PLAY,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",12458536.12,12458536.12
2022,16,10568281000137.0,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TERRA LIVRELTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA EM ATENDIMENTO A LEI FEDERAL N 11947/09",12440243.24,12440243.24
2022,16,42454330000105.0,COMISSARIA AEREA RIO DE JANEIRO LTDA.,SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL,12435476.64,12435476.64
2022,16,1953247000195.0,INSTITUTO CARIOCA DE ATIVIDADES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",12427195.46,12427195.46
2023,16,40160558000159.0,TRANSPORTE E TURISMO REAL BRASIL LTDA.,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",12239767.74,9171800.0
2023,16,1600.0,Secretaria Municipal de Educação,REMUNERACAO DE CARGO DE DIRECAO E ASSISTENCIA INTERMEDIARIA (DAI),11451344.87,11451344.87
2022,16,34704019000130.0,CENTRO EDUCACIONAL VALE DO SOL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",11406759.719999999,11406759.719999999
2023,16,9445502000109.0,SOLUCOES SERVICOS TERCEIRIZADOS EIRELI,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",11385836.26,9259432.47
2023,16,1600.0,Secretaria Municipal de Educação,SERVICOS PRESTADOS POR ESTUDANTES,11376578.0,733388.2
2023,16,1600.0,Secretaria Municipal de Educação,ABONO DE PERMANENCIA,11364254.55,11364254.55
2023,16,1600.0,Secretaria Municipal de Educação,REMUNERACAO DE FERIAS AOS FUNCIONARIOS ESTATUTARIOS,11007584.23,11007584.23
2023,16,27051838000160.0,ERMAR ALIMENTOS LTDA.,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",10669215.56,4446071.2
2022,16,11429080000111.0,CRECHE COMUNITARIA DEUS E FIEL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",10433722.0,10433722.0
2022,16,5515363000183.0,INSTITUTO CRESCER COM META,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",10383298.379999999,10383298.379999999
2022,16,42353180000135.0,IGUA RIO DE JANEIRO S.A.,SERVICOS DE AGUA E ESGOTO,10080618.26,9923746.629999999
2023,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO POR CAPACITACAO - GCAP,9633549.77,9633549.77
2023,16,809803000191.0,GUARD ANGEL VIGILANCIA EIRELI,SERVICOS DE VIGILANCIA E POLICIAMENTO POR PESSOA JURIDICA,9478040.87,3222504.26
2022,16,809803000191.0,GUARD ANGEL VIGILANCIA EIRELI,SERVICOS DE VIGILANCIA E POLICIAMENTO POR PESSOA JURIDICA,9123304.61,9118242.36
2023,16,2149434000183.0,RL2 ENGENHARIA LTDA,EXECUCAO DAS OBRAS E PROJETOS,8959053.92,1401783.42
2022,16,17765891000250.0,ELEVA EDUCACAO SA,"MATERIAIS PARA USO ESCOLAR,DIDATICO,CULTURAL, CIVICO E TECNICO",8664381.47,8664381.47
2023,16,3465953000113.0,ASSOCIACAO CENTRO EDUCACIONAL REBRAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",8611158.47,3978608.33
2022,16,2717198000154.0,NUCLEO DE ACAO COMUNITARIA E DE DESENVOLVIMENTO SOCIAL NACODES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",8546695.540000001,8546695.540000001
2022,16,5951758000129.0,SINGULAR GESTAO DE SERVICOS LTDA,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",8476742.82,8435646.33
2023,16,28672996000605.0,COOPERATIVA AGROPECUARIA DE BARRA MANSA LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA EM ATENDIMENTO A LEI FEDERAL N 11947/09",8382459.51,0.0
2023,16,10568281000137.0,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TERRA LIVRELTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA EM ATENDIMENTO A LEI FEDERAL N 11947/09",8248611.72,5691007.41
2023,16,73214439000190.0,EMPRESA MUNICIPAL DE INFORMATICA E PLANEJAMENTO S.A IPLANRIO,SERVICOS DE DESENVOLVIMENTO E MANUTENCAO DE SOFTWARES,8074481.55,2599137.65
2022,16,21195755000169.0,MEC UNIVERSIDADE FEDERAL DE JUIZ DE FORA,SERVICOS DE RECRUTAMENTO E SELECAO POR PESSOA JURIDICA,8025239.28,8025239.28
2022,16,768165000108.0,HB MULTISERVICOS LTDA,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",7819286.97,7819286.97
2022,16,3706826000169.0,P.R.M. SERVICOS E MAO DE OBRA ESPECIALIZADA EIRELI,SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL,7775067.12,7775067.12
2022,16,5485279000407.0,FALCONI CONSULTORES SA,CONSULTORIAS EM GERAL,7750567.83,7750567.83
2022,16,29014008000199.0,INSTITUTO NACIONAL DE ASSISTENCIA TRABALHO OPORTUNIDADES E SAUDE INATOS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",7739847.9,7739847.9
2022,16,28672996000605.0,COOPERATIVA AGROPECUARIA DE BARRA MANSA LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA EM ATENDIMENTO A LEI FEDERAL N 11947/09",7225147.54,7225147.54
2023,16,1953247000195.0,INSTITUTO CARIOCA DE ATIVIDADES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",7154676.13,3445543.91
2022,16,33955436000193.0,ZIT GRAFICA E EDITORA LTDA,SERVICOS ADMINISTRATIVOS TECNICOS CIENTIFICOSE DE PESQUISA DE CARATER EVENTUAL,7152478.779999999,7152478.779999999
2023,16,33593575000114.0,MITRA ARQUIEPISCOPAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",7104992.72,4153052.31
2023,16,42353180000135.0,IGUA RIO DE JANEIRO S.A.,SERVICOS DE AGUA E ESGOTO,7013072.0,1514472.95
2023,16,92369000171.0,NETCENTER INFORMATICA LTDA.,SUPORTE A USUARIOS DE TIC,7003062.28,1437119.69
2022,16,36430028000106.0,MAX ENGENHARIA EIRELI,"AMPLIACAO, RECONSTRUCAO E REFORMAS",6999480.71,6909432.03
2023,16,3706826000169.0,P.R.M. SERVICOS E MAO DE OBRA ESPECIALIZADA EIRELI,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",6866845.890000001,6643804.71
2023,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO POR DESEMPENHO NO CARGO TECNICO - GD,6700155.709999999,6700155.709999999
2022,16,73214439000190.0,EMPRESA MUNICIPAL DE INFORMATICA E PLANEJAMENTO S.A IPLANRIO,SERVICOS DE DESENVOLVIMENTO E MANUTENCAO DE SOFTWARES,6600284.0600000005,6600284.0600000005
2022,16,92369000171.0,NETCENTER INFORMATICA LTDA.,SUPORTE A USUARIOS DE TIC,6600200.16,6600200.16
2022,16,27459612000101.0,CENTRO CULTURAL EDUCAR,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",6516763.64,6516763.64
2022,16,5364000000194.0,INSTITUTO SESSUB,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",6456490.6,6456490.6
2023,16,3237583004405.0,COPA ENERGIA DISTRIBUIDORA DE GAS S.A.,COMBUSTIVEIS E LUBRIFICANTES,6387367.07,894195.62
2023,16,5364000000194.0,INSTITUTO SESSUB,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",6333010.49,3632346.26
2022,16,17271547000124.0,ASSOCIACAO CRECHE ESPERANCA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",6004960.23,5843460.23
2022,16,20422268000129.0,LIBRAS ELOHIM LTDA,"SERVICOS PARA FINS EDUCATIVOS, CULTURAIS E SOCIAIS, INCLUSIVE DIVULGACAO",5725171.95,5725171.95
2022,16,20522050000146.0,ESPECIALY TERCEIRIZACAO EIRELI,SERVICOS DE APOIO ADMINISTRATIVO E OPERACIONAL,5670267.43,4028860.2199999997
2022,16,42696744000132.0,CRECHE E PRE ESCOLA MARIA MANUELA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5537025.0,5537025.0
2023,16,34704019000130.0,CENTRO EDUCACIONAL VALE DO SOL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5477031.8,2946688.33
2022,16,517666000111.0,RIOSOLIDARIO OBRA SOCIAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5367075.67,5367075.67
2023,16,3139962000114.0,UNIAO ESPORTIVA VILA OLIMPICA DA MARE UEVOM,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",5304858.83,2146731.61
2022,16,7432517000107.0,SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,OUTSOURCING DE IMPRESSAO,5290003.11,5288970.61
2022,16,46572804000166.0,ASSOCIACAO EDUCACIONAL MARIA M DE APOIO A CIDADANIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5272400.0,5272400.0
2022,16,1651.0,MULTIRIO - Empresa Municipal de Multimeios Ltda.,SALARIOS - CELETISTAS,5214064.9,5214064.9
2022,16,72381189001001.0,DELL COMPUTADORES DO BRASIL LTDA,MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELEPROCESSAMENTO,5036500.0,5036500.0
2023,16,1435328000101.0,COOPERATIVA REGIONAL DE COMERCIALIZACAO DO EXTREMO OESTE CCOOPEROESTE,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA EM ATENDIMENTO A LEI FEDERAL N 11947/09",5001071.48,4186527.56
2022,16,11239018000167.0,GUARDA MUNICIPAL DA CIDADE DO RIO DE JANEIRO GM RIO,SERVICOS DE VIGILANCIA E POLICIAMENTO,5000000.0,5000000.0
2023,16,11429080000111.0,CRECHE COMUNITARIA DEUS E FIEL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4948731.66,2761296.66
2022,16,42310775000103.0,AGUAS DO RIO 1 SPE S.A.,SERVICOS DE AGUA E ESGOTO,4780855.92,4780855.92
2022,16,3237583004405.0,COPA ENERGIA DISTRIBUIDORA DE GAS S.A.,COMBUSTIVEIS E LUBRIFICANTES,4759780.46,4630123.18
2022,16,30598395000137.0,CONTECK COMERCIO E SERVICOS DE INSTALACAO DE EQUIPAMENTOS,"SERVS.DE REPARO, ADAPTACAO,CONSERV.RESTAURACAO E INSTALACAO DE SISTEMA DE REFRIGERACAO",4695343.82,4695343.82
2023,16,5485279000407.0,FALCONI CONSULTORES SA,CONSULTORIAS EM GERAL,4670000.0,1009030.92
2022,16,3589880000171.0,CONSTRUTORA WV LTDA,"SERVS.DE REPARO,ADPTACAO,CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA",4636929.79,4628728.47
2023,16,20422268000129.0,LIBRAS ELOHIM LTDA,"SERVICOS PARA FINS EDUCATIVOS, CULTURAIS E SOCIAIS, INCLUSIVE DIVULGACAO",4567351.180000001,1616773.66
2023,16,5515363000183.0,INSTITUTO CRESCER COM META,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",4424974.3100000005,2941848.57
2023,16,10489688000179.0,INSTITUTO FAIR PLAY,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",4419570.78,2648276.18
2023,16,2717198000154.0,NUCLEO DE ACAO COMUNITARIA E DE DESENVOLVIMENTO SOCIAL NACODES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4207587.18,2472903.3000000003
2022,16,440605000101.0,L M ENGENHARIA LTDA,"SERVS.DE REPARO,ADPTACAO,CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA",4207312.59,3817453.4
2022,16,35455216000126.0,CENTRO CULTURAL MONTESSORI,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4144330.0,4144330.0
2022,16,28148778000161.0,MASSIMO OBRAS E SERVICOS EIRELI,"AMPLIACAO, RECONSTRUCAO E REFORMAS",4135180.08,3601436.75
2023,16,29014008000199.0,INSTITUTO NACIONAL DE ASSISTENCIA TRABALHO OPORTUNIDADES E SAUDE INATOS,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS AO ESPORTE, PRESTADOS POR OS",4099372.64,2827526.9
2022,16,33709171000143.0,CRUZADA DO MENOR,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",4091655.46,4091655.46
2022,16,40326381000118.0,SOLAMARIS DO RIO FORNECEDORA DE FRUTAS E LEGUMES LTDA.,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",4028193.1,4028193.1
2023,16,40217234000100.0,SIBELLY TRANSPORTES LTDA,"SERVICOS DE TRANSPORTE, FRETE E CARRETOS",3985200.0,1328400.0
2022,16,39748014000123.0,CRECHE COMUNITARIA ARTE & CULTURA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3974200.0,3974200.0
2022,16,1876285000191.0,CEC EM PROF. COQUEIRO,DESPESAS VINCULADAS AO PDDE  - PROGRAMA DINHEIRO DIRETO NA ESCOLA,3931841.0,3931841.0
2022,16,801512000157.0,AGILE CORP SERVICOS ESPECIALIZADOS LTDA,SERVICOS PRESTADOS E AQUISICOES - LC 235/2021,3900364.23,3900364.23
2023,16,440605000101.0,L M ENGENHARIA LTDA,"SERVS.DE REPARO,ADPTACAO,CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA",3896733.54,369023.65
2022,16,8892409000171.0,CEM CRECHE ESCOLA MACHADO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3870533.33,3870533.33
2022,16,73306300000177.0,CRECHE CASULO AGOSTINHO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",3857165.66,3857165.66
